strategy,trade_date,action_type,trigger_type,etf_code,etf_name,price,amount,principal_cap,total_principal_invested_after_trade,notes
triggered_plan_cash,2026-07-03,buy,initial_40pct_build,159530,机器人ETF易方达,1.776,48000.0,400000,48000.0,按目标权重买入
triggered_plan_cash,2026-07-03,buy,initial_40pct_build,159994,通信ETF银华,1.519,40000.0,400000,88000.0,按目标权重买入
triggered_plan_cash,2026-07-03,buy,initial_40pct_build,515260,电子ETF华宝,1.039,32000.0,400000,120000.0,按目标权重买入
triggered_plan_cash,2026-07-03,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,1.73,24000.0,400000,144000.0,按目标权重买入
triggered_plan_cash,2026-07-03,buy,initial_40pct_build,159538,信创ETF富国,2.269,16000.0,400000,160000.0,按目标权重买入
triggered_plan_margin,2026-07-03,buy,initial_40pct_build,159530,机器人ETF易方达,1.776,48000.0,400000,48000.0,按目标权重买入
triggered_plan_margin,2026-07-03,buy,initial_40pct_build,159994,通信ETF银华,1.519,40000.0,400000,88000.0,按目标权重买入
triggered_plan_margin,2026-07-03,buy,initial_40pct_build,515260,电子ETF华宝,1.039,32000.0,400000,120000.0,按目标权重买入
triggered_plan_margin,2026-07-03,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,1.73,24000.0,400000,144000.0,按目标权重买入
triggered_plan_margin,2026-07-03,buy,initial_40pct_build,159538,信创ETF富国,2.269,16000.0,400000,160000.0,按目标权重买入
enhanced_overheat_plan_cash,2026-07-03,buy,initial_20pct_build_overheat_filter,159530,机器人ETF易方达,1.776,24000.0,400000,24000.0,按目标权重买入
enhanced_overheat_plan_cash,2026-07-03,buy,initial_20pct_build_overheat_filter,159994,通信ETF银华,1.519,20000.0,400000,44000.0,按目标权重买入
enhanced_overheat_plan_cash,2026-07-03,buy,initial_20pct_build_overheat_filter,515260,电子ETF华宝,1.039,16000.0,400000,60000.0,按目标权重买入
enhanced_overheat_plan_cash,2026-07-03,buy,initial_20pct_build_overheat_filter,159516,半导体设备材料ETF国泰,1.73,6000.0,400000,66000.0,过热过滤：近20日涨幅超过25%，本次只买目标金额的一半，剩余现金保留
enhanced_overheat_plan_cash,2026-07-03,buy,initial_20pct_build_overheat_filter,159538,信创ETF富国,2.269,8000.0,400000,74000.0,按目标权重买入
enhanced_overheat_plan_margin,2026-07-03,buy,initial_20pct_build_overheat_filter,159530,机器人ETF易方达,1.776,24000.0,400000,24000.0,按目标权重买入
enhanced_overheat_plan_margin,2026-07-03,buy,initial_20pct_build_overheat_filter,159994,通信ETF银华,1.519,20000.0,400000,44000.0,按目标权重买入
enhanced_overheat_plan_margin,2026-07-03,buy,initial_20pct_build_overheat_filter,515260,电子ETF华宝,1.039,16000.0,400000,60000.0,按目标权重买入
enhanced_overheat_plan_margin,2026-07-03,buy,initial_20pct_build_overheat_filter,159516,半导体设备材料ETF国泰,1.73,6000.0,400000,66000.0,过热过滤：近20日涨幅超过25%，本次只买目标金额的一半，剩余现金保留
enhanced_overheat_plan_margin,2026-07-03,buy,initial_20pct_build_overheat_filter,159538,信创ETF富国,2.269,8000.0,400000,74000.0,按目标权重买入
monthly_dca_cash,2026-07-03,buy,initial_40pct_build,159530,机器人ETF易方达,1.776,48000.0,400000,48000.0,按目标权重买入
monthly_dca_cash,2026-07-03,buy,initial_40pct_build,159994,通信ETF银华,1.519,40000.0,400000,88000.0,按目标权重买入
monthly_dca_cash,2026-07-03,buy,initial_40pct_build,515260,电子ETF华宝,1.039,32000.0,400000,120000.0,按目标权重买入
monthly_dca_cash,2026-07-03,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,1.73,24000.0,400000,144000.0,按目标权重买入
monthly_dca_cash,2026-07-03,buy,initial_40pct_build,159538,信创ETF富国,2.269,16000.0,400000,160000.0,按目标权重买入
monthly_dca_margin,2026-07-03,buy,initial_40pct_build,159530,机器人ETF易方达,1.776,48000.0,400000,48000.0,按目标权重买入
monthly_dca_margin,2026-07-03,buy,initial_40pct_build,159994,通信ETF银华,1.519,40000.0,400000,88000.0,按目标权重买入
monthly_dca_margin,2026-07-03,buy,initial_40pct_build,515260,电子ETF华宝,1.039,32000.0,400000,120000.0,按目标权重买入
monthly_dca_margin,2026-07-03,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,1.73,24000.0,400000,144000.0,按目标权重买入
