strategy,date,total_value,cash,market_value,principal_invested,margin_used,return_on_principal_cap,drawdown_from_strategy_high,weight_159530,weight_159994,weight_515260,weight_159516,weight_159538
triggered_plan_cash,2026-01-05,400000.0,240000.0,160000.0,160000.0,0.0,0.0,0.0,0.3,0.25,0.2,0.15,0.1
triggered_plan_cash,2026-01-06,401990.03,240000.0,161990.03,160000.0,0.0,0.004975,0.0,0.298719,0.246799,0.200729,0.153413,0.100339
triggered_plan_cash,2026-01-07,403663.32,240000.0,163663.32,160000.0,0.0,0.009158,0.0,0.292187,0.245556,0.198964,0.163235,0.100058
triggered_plan_cash,2026-01-08,403894.92,240000.0,163894.92,160000.0,0.0,0.009737,0.0,0.296161,0.242525,0.198682,0.161661,0.100971
triggered_plan_cash,2026-01-09,405134.63,240000.0,165134.63,160000.0,0.0,0.012837,0.0,0.2992,0.241212,0.198327,0.160003,0.101258
triggered_plan_cash,2026-01-12,408963.62,160000.0,248963.62,240000.0,0.0,0.022409,0.0,0.300993,0.243945,0.197511,0.155684,0.101867
triggered_plan_cash,2026-01-13,401735.56,160000.0,241735.56,240000.0,0.0,0.004339,-0.017674,0.302334,0.243355,0.196799,0.155238,0.102274
triggered_plan_cash,2026-01-14,403744.61,160000.0,243744.61,240000.0,0.0,0.009362,-0.012762,0.296949,0.243913,0.19746,0.157447,0.104231
triggered_plan_cash,2026-01-15,406905.0,160000.0,246905.0,240000.0,0.0,0.017262,-0.005034,0.29047,0.24446,0.198594,0.163699,0.102777
triggered_plan_cash,2026-01-16,412906.72,160000.0,252906.72,240000.0,0.0,0.032267,0.0,0.292466,0.241747,0.199107,0.16511,0.10157
triggered_plan_cash,2026-01-19,411608.98,160000.0,251608.98,240000.0,0.0,0.029022,-0.003143,0.295201,0.240138,0.197922,0.165117,0.101622
triggered_plan_cash,2026-01-20,407625.48,160000.0,247625.48,240000.0,0.0,0.019064,-0.01279,0.295499,0.237945,0.197455,0.166743,0.102358
triggered_plan_cash,2026-01-21,411651.22,160000.0,251651.22,240000.0,0.0,0.029128,-0.003041,0.293399,0.23687,0.200376,0.164329,0.105025
triggered_plan_cash,2026-01-22,411793.93,160000.0,251793.93,240000.0,0.0,0.029485,-0.002695,0.292008,0.241823,0.200263,0.160351,0.105555
triggered_plan_cash,2026-01-23,413042.9,160000.0,253042.9,240000.0,0.0,0.032607,0.0,0.29527,0.237913,0.19845,0.163509,0.104858
triggered_plan_cash,2026-01-26,406487.01,160000.0,246487.01,240000.0,0.0,0.016218,-0.015872,0.290784,0.241199,0.200342,0.160871,0.106804
triggered_plan_cash,2026-01-27,409624.66,160000.0,249624.66,240000.0,0.0,0.024062,-0.008276,0.287658,0.243549,0.199495,0.162171,0.107126
triggered_plan_cash,2026-01-28,409413.74,160000.0,249413.74,240000.0,0.0,0.023534,-0.008786,0.2826,0.244757,0.200222,0.164609,0.107812
triggered_plan_cash,2026-01-29,402793.13,160000.0,242793.13,240000.0,0.0,0.006983,-0.024815,0.285222,0.246284,0.199379,0.16148,0.107635
triggered_plan_cash,2026-01-30,403792.02,160000.0,243792.02,240000.0,0.0,0.00948,-0.022397,0.282607,0.250145,0.199133,0.160556,0.107559
triggered_plan_cash,2026-02-02,395894.77,80000.0,315894.77,320000.0,0.0,-0.010263,-0.041517,0.289891,0.250823,0.199047,0.15557,0.104669
triggered_plan_cash,2026-02-03,403528.74,80000.0,323528.74,320000.0,0.0,0.008822,-0.023034,0.290805,0.250976,0.196657,0.156942,0.10462
triggered_plan_cash,2026-02-04,398353.2,80000.0,318353.2,320000.0,0.0,-0.004117,-0.035565,0.294219,0.247574,0.195751,0.158964,0.103492
triggered_plan_cash,2026-02-05,393798.23,80000.0,313798.23,320000.0,0.0,-0.015504,-0.046592,0.292208,0.246906,0.196512,0.161002,0.103372
triggered_plan_cash,2026-02-06,394309.81,80000.0,314309.81,320000.0,0.0,-0.014225,-0.045354,0.296864,0.244643,0.196192,0.159845,0.102457
triggered_plan_cash,2026-02-09,402836.53,80000.0,322836.53,320000.0,0.0,0.007091,-0.02471,0.293464,0.248278,0.196212,0.159021,0.103025
triggered_plan_cash,2026-02-10,404627.56,80000.0,324627.56,320000.0,0.0,0.011569,-0.020374,0.294237,0.247423,0.196853,0.157884,0.103602
triggered_plan_cash,2026-02-11,400385.41,80000.0,320385.41,320000.0,0.0,0.000964,-0.030644,0.294777,0.246264,0.196839,0.158306,0.103813
triggered_plan_cash,2026-02-12,404260.09,80000.0,324260.09,320000.0,0.0,0.01065,-0.021264,0.293834,0.247188,0.196501,0.157369,0.105108
triggered_plan_cash,2026-02-13,404119.79,80000.0,324119.79,320000.0,0.0,0.010299,-0.021603,0.29562,0.244458,0.19601,0.158999,0.104912
triggered_plan_cash,2026-02-24,406548.9,80000.0,326548.9,320000.0,0.0,0.016372,-0.015722,0.291225,0.249295,0.197124,0.158764,0.103592
triggered_plan_cash,2026-02-25,410132.06,80000.0,330132.06,320000.0,0.0,0.02533,-0.007047,0.288246,0.248614,0.197245,0.164199,0.101697
triggered_plan_cash,2026-02-26,414007.82,80000.0,334007.82,320000.0,0.0,0.03502,0.0,0.283112,0.252486,0.199145,0.163978,0.101279
triggered_plan_cash,2026-02-27,410040.53,80000.0,330040.53,320000.0,0.0,0.025101,-0.009583,0.284525,0.250962,0.198995,0.162369,0.103149
triggered_plan_cash,2026-03-02,405790.64,80000.0,325790.64,320000.0,0.0,0.014477,-0.019848,0.280535,0.256288,0.199587,0.161379,0.102211
triggered_plan_cash,2026-03-03,390482.9,80000.0,310482.9,320000.0,0.0,-0.023793,-0.056822,0.279552,0.259772,0.199512,0.160094,0.101071
triggered_plan_cash,2026-03-04,389360.1,80000.0,309360.1,320000.0,0.0,-0.0266,-0.059534,0.279601,0.259093,0.199331,0.16022,0.101755
triggered_plan_cash,2026-03-05,394534.88,80000.0,314534.88,320000.0,0.0,-0.013663,-0.047035,0.27804,0.260411,0.199611,0.160178,0.101761
triggered_plan_cash,2026-03-06,394861.23,80000.0,314861.23,320000.0,0.0,-0.012847,-0.046247,0.280787,0.25961,0.199404,0.158046,0.102153
triggered_plan_cash,2026-03-09,389903.49,80000.0,309903.49,320000.0,0.0,-0.025241,-0.058222,0.28258,0.257291,0.199583,0.156127,0.104419
triggered_plan_cash,2026-03-10,399343.4,0.0,399343.4,400000.0,0.0,-0.001641,-0.035421,0.285374,0.258748,0.199154,0.154238,0.102487
triggered_plan_cash,2026-03-11,398224.1,0.0,398224.1,400000.0,0.0,-0.00444,-0.038124,0.285986,0.260776,0.199127,0.152741,0.10137
triggered_plan_cash,2026-03-12,393288.23,0.0,393288.23,400000.0,0.0,-0.016779,-0.050046,0.285727,0.26115,0.199548,0.152171,0.101404
triggered_plan_cash,2026-03-13,388773.29,0.0,388773.29,400000.0,0.0,-0.028067,-0.060952,0.284568,0.261251,0.200664,0.1525,0.101017
triggered_plan_cash,2026-03-16,393136.96,0.0,393136.96,400000.0,0.0,-0.017158,-0.050412,0.281987,0.262569,0.200813,0.15294,0.101691
