strategy,date,total_value,cash,market_value,principal_invested,return_on_principal_cap,drawdown_from_strategy_high,weight_159259,weight_159222,weight_515180
triggered_plan,2026-01-05,400000.0,240000.0,160000.0,160000.0,0.0,0.0,0.3,0.4,0.3
triggered_plan,2026-01-06,401666.66,240000.0,161666.66,160000.0,0.004167,0.0,0.297453,0.401967,0.300581
triggered_plan,2026-01-07,402076.51,240000.0,162076.51,160000.0,0.005191,0.0,0.301052,0.399128,0.299821
triggered_plan,2026-01-08,401309.39,240000.0,161309.39,160000.0,0.003273,-0.001908,0.299204,0.400415,0.30038
triggered_plan,2026-01-09,402471.52,240000.0,162471.52,160000.0,0.006179,0.0,0.299506,0.401187,0.299307
triggered_plan,2026-01-12,403297.02,160000.0,243297.02,240000.0,0.008243,0.0,0.301007,0.400043,0.29895
triggered_plan,2026-01-13,401849.38,160000.0,241849.38,240000.0,0.004623,-0.00359,0.294134,0.405773,0.300093
triggered_plan,2026-01-14,401748.02,160000.0,241748.02,240000.0,0.00437,-0.003841,0.297512,0.404426,0.298062
triggered_plan,2026-01-15,402609.69,160000.0,242609.69,240000.0,0.006524,-0.001704,0.300779,0.403292,0.295929
triggered_plan,2026-01-16,402246.08,160000.0,242246.08,240000.0,0.005615,-0.002606,0.303396,0.402384,0.29422
triggered_plan,2026-01-19,404934.36,160000.0,244934.36,240000.0,0.012336,0.0,0.30301,0.403657,0.293333
triggered_plan,2026-01-20,405345.82,160000.0,245345.82,240000.0,0.013365,0.0,0.29502,0.407464,0.297516
triggered_plan,2026-01-21,406471.3,160000.0,246471.3,240000.0,0.016178,0.0,0.300057,0.405901,0.294042
triggered_plan,2026-01-22,410532.32,160000.0,250532.32,240000.0,0.026331,0.0,0.304091,0.405177,0.290733
triggered_plan,2026-01-23,410872.4,160000.0,250872.4,240000.0,0.027181,0.0,0.30211,0.407551,0.290338
triggered_plan,2026-01-26,411101.57,160000.0,251101.57,240000.0,0.027754,0.0,0.296874,0.410977,0.29215
triggered_plan,2026-01-27,410827.85,160000.0,250827.85,240000.0,0.02707,-0.000666,0.302948,0.406454,0.290598
triggered_plan,2026-01-28,414728.95,160000.0,254728.95,240000.0,0.036822,0.0,0.299081,0.410883,0.290036
triggered_plan,2026-01-29,414515.13,160000.0,254515.13,240000.0,0.036288,-0.000516,0.291346,0.414686,0.293967
triggered_plan,2026-01-30,411947.27,160000.0,251947.27,240000.0,0.029868,-0.006707,0.295877,0.41047,0.293653
triggered_plan,2026-02-02,402201.71,80000.0,322201.71,320000.0,0.005504,-0.030206,0.2971,0.405262,0.297638
triggered_plan,2026-02-03,407599.08,80000.0,327599.08,320000.0,0.018998,-0.017192,0.29728,0.408075,0.294645
triggered_plan,2026-02-04,410490.01,80000.0,330490.01,320000.0,0.026225,-0.010221,0.289385,0.410973,0.299642
triggered_plan,2026-02-05,406283.82,80000.0,326283.82,320000.0,0.01571,-0.020363,0.286947,0.410613,0.30244
triggered_plan,2026-02-06,405246.37,80000.0,325246.37,320000.0,0.013116,-0.022865,0.288131,0.409534,0.302335
triggered_plan,2026-02-09,410565.15,80000.0,330565.15,320000.0,0.026413,-0.01004,0.291436,0.40941,0.299154
triggered_plan,2026-02-10,410703.28,80000.0,330703.28,320000.0,0.026758,-0.009707,0.289463,0.409827,0.300711
triggered_plan,2026-02-11,412057.52,80000.0,332057.52,320000.0,0.030144,-0.006441,0.286964,0.411666,0.301369
triggered_plan,2026-02-12,413481.84,80000.0,333481.84,320000.0,0.033705,-0.003007,0.288887,0.411656,0.299457
triggered_plan,2026-02-13,408796.77,80000.0,328796.77,320000.0,0.021992,-0.014304,0.290076,0.41043,0.299493
triggered_plan,2026-02-24,416666.56,80000.0,336666.56,320000.0,0.041666,0.0,0.290833,0.412956,0.296211
triggered_plan,2026-02-25,419285.04,80000.0,339285.04,320000.0,0.048213,0.0,0.292457,0.411774,0.295769
triggered_plan,2026-02-26,420620.52,80000.0,340620.52,320000.0,0.051551,0.0,0.294907,0.4113,0.293793
triggered_plan,2026-02-27,421585.19,80000.0,341585.19,320000.0,0.053963,0.0,0.291,0.412983,0.296017
triggered_plan,2026-03-02,426295.91,80000.0,346295.91,320000.0,0.06574,0.0,0.288052,0.416343,0.295605
