strategy,trade_date,action_type,trigger_type,etf_code,etf_name,price,amount,principal_cap,total_principal_invested_after_trade,notes
triggered_plan,2026-01-05,buy,initial_40pct_build,159259,成长ETF易方达,1.089,48000.0,400000.0,48000.0,按目标权重买入
triggered_plan,2026-01-05,buy,initial_40pct_build,159222,自由现金流ETF易方达,1.3,64000.0,400000.0,112000.0,按目标权重买入
triggered_plan,2026-01-05,buy,initial_40pct_build,515180,红利ETF易方达,1.374,48000.0,400000.0,160000.0,按目标权重买入
triggered_plan,2026-01-12,buy,time_5_trading_days_principal_add,159259,成长ETF易方达,1.117,24000.0,400000.0,184000.0,按目标权重买入
triggered_plan,2026-01-12,buy,time_5_trading_days_principal_add,159222,自由现金流ETF易方达,1.327,32000.0,400000.0,216000.0,按目标权重买入
triggered_plan,2026-01-12,buy,time_5_trading_days_principal_add,515180,红利ETF易方达,1.395,24000.0,400000.0,240000.0,按目标权重买入
triggered_plan,2026-02-02,buy,time_20_trading_days_principal_add,159259,成长ETF易方达,1.094,24000.0,400000.0,264000.0,按目标权重买入
triggered_plan,2026-02-02,buy,time_20_trading_days_principal_add,159222,自由现金流ETF易方达,1.344,32000.0,400000.0,296000.0,按目标权重买入
triggered_plan,2026-02-02,buy,time_20_trading_days_principal_add,515180,红利ETF易方达,1.379,24000.0,400000.0,320000.0,按目标权重买入
triggered_plan,2026-03-10,buy,time_40_trading_days_principal_add,159259,成长ETF易方达,1.127,24000.0,400000.0,344000.0,按目标权重买入
triggered_plan,2026-03-10,buy,time_40_trading_days_principal_add,159222,自由现金流ETF易方达,1.476,32000.0,400000.0,376000.0,按目标权重买入
triggered_plan,2026-03-10,buy,time_40_trading_days_principal_add,515180,红利ETF易方达,1.453,24000.0,400000.0,400000.0,按目标权重买入
triggered_plan,2026-06-30,sell,month_end_rebalance_over_upper_plus_3pct,159259,成长ETF易方达,1.776,62001.14,400000.0,400000.0,超上限3个百分点以上，卖回目标权重
monthly_dca,2026-01-05,buy,initial_40pct_build,159259,成长ETF易方达,1.089,48000.0,400000.0,48000.0,按目标权重买入
monthly_dca,2026-01-05,buy,initial_40pct_build,159222,自由现金流ETF易方达,1.3,64000.0,400000.0,112000.0,按目标权重买入
monthly_dca,2026-01-05,buy,initial_40pct_build,515180,红利ETF易方达,1.374,48000.0,400000.0,160000.0,按目标权重买入
monthly_dca,2026-02-02,buy,monthly_first_trading_day_dca,159259,成长ETF易方达,1.094,24000.0,400000.0,184000.0,按目标权重买入
monthly_dca,2026-02-02,buy,monthly_first_trading_day_dca,159222,自由现金流ETF易方达,1.344,32000.0,400000.0,216000.0,按目标权重买入
monthly_dca,2026-02-02,buy,monthly_first_trading_day_dca,515180,红利ETF易方达,1.379,24000.0,400000.0,240000.0,按目标权重买入
monthly_dca,2026-03-02,buy,monthly_first_trading_day_dca,159259,成长ETF易方达,1.14,24000.0,400000.0,264000.0,按目标权重买入
monthly_dca,2026-03-02,buy,monthly_first_trading_day_dca,159222,自由现金流ETF易方达,1.484,32000.0,400000.0,296000.0,按目标权重买入
monthly_dca,2026-03-02,buy,monthly_first_trading_day_dca,515180,红利ETF易方达,1.472,24000.0,400000.0,320000.0,按目标权重买入
monthly_dca,2026-04-01,buy,monthly_first_trading_day_dca,159259,成长ETF易方达,1.1,24000.0,400000.0,344000.0,按目标权重买入
monthly_dca,2026-04-01,buy,monthly_first_trading_day_dca,159222,自由现金流ETF易方达,1.4,32000.0,400000.0,376000.0,按目标权重买入
monthly_dca,2026-04-01,buy,monthly_first_trading_day_dca,515180,红利ETF易方达,1.431,24000.0,400000.0,400000.0,按目标权重买入
monthly_dca,2026-06-30,sell,month_end_rebalance_over_upper_plus_3pct,159259,成长ETF易方达,1.776,62825.41,400000.0,400000.0,超上限3个百分点以上，卖回目标权重
one_shot_full,2026-01-05,buy,initial_40pct_build,159259,成长ETF易方达,1.089,48000.0,400000.0,48000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,159222,自由现金流ETF易方达,1.3,64000.0,400000.0,112000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,515180,红利ETF易方达,1.374,48000.0,400000.0,160000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159259,成长ETF易方达,1.089,72000.0,400000.0,232000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159222,自由现金流ETF易方达,1.3,96000.0,400000.0,328000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,515180,红利ETF易方达,1.374,72000.0,400000.0,400000.0,按目标权重买入
