date,month,ordinal,intraday_change_pct,intraday_month_change_pct,result,mechanical,matched
2025-01-10,2025-01,1,-1.5641,-1.2327,MATCH_RSP_MINUS_1,True,True
2025-02-03,2025-02,1,-1.9532,-1.9532,MATCH_RSP_MINUS_1,True,True
2025-03-03,2025-03,1,-1.5928,-1.5928,MATCH_RSP_MINUS_1,True,True
2025-03-11,2025-03,2,-1.8599,-5.1171,MATCH_RSP_MTD_MINUS_5,True,True
2025-04-03,2025-04,1,-4.8038,-3.9081,MATCH_RSP_MINUS_1,True,True
2025-04-04,2025-04,2,-5.7587,-9.4037,MATCH_RSP_MTD_MINUS_5,True,True
2025-04-07,2025-04,3,-4.3453,-13.2079,DISCRETIONARY_THIRD_ADD,False,False
2025-05-16,2025-05,1,-0.1964,5.1732,MATCH_THIRD_FRIDAY,True,True
2025-06-13,2025-06,1,-1.4762,0.2494,MATCH_RSP_MINUS_1,True,True
2025-07-07,2025-07,1,-1.3392,0.5282,MATCH_RSP_MINUS_1,True,True
2025-09-02,2025-09,1,-1.3625,-1.3625,MATCH_RSP_MINUS_1,True,True
2025-10-09,2025-10,1,-0.9897,-0.3268,MATCH_RSP_MINUS_1,True,True
2025-11-13,2025-11,1,-1.2935,-0.1117,MATCH_RSP_MINUS_1,True,True
2025-12-16,2025-12,1,-1.0638,0.0313,MATCH_RSP_MINUS_1,True,True
2026-01-08,2026-01,1,-0.3183,1.3625,UNMATCHED_FIRST_ADD,True,False
2026-02-03,2026-02,1,-1.0648,-0.5553,MATCH_RSP_MINUS_1,True,True
2026-03-03,2026-03,1,-2.9522,-3.1322,MATCH_RSP_MINUS_1,True,True
2026-03-09,2026-03,2,-2.1095,-5.3666,MATCH_RSP_MTD_MINUS_5,True,True
2026-04-17,2026-04,1,0.4934,5.0594,MATCH_THIRD_FRIDAY,True,True
2026-05-15,2026-05,1,-1.0851,-0.9782,MATCH_RSP_MINUS_1,True,True
2026-06-05,2026-06,1,-1.6791,-0.7374,MATCH_RSP_MINUS_1,True,True
2026-07-08,2026-07,1,-1.5322,-0.6251,MATCH_RSP_MINUS_1,True,True
