transaction_date,settlement_date,activity,symbol,quantity,price,total_amount,source_row,record_id,source_hash
2023-08-03,2023-08-07,Buy,VNQ,886.0,83.81,-74265.61,357,a594f601f7c0368c,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-08-03,2023-08-07,Buy,RSP,490.0,152.2,-74587.95,358,e411b253c673b8f5,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-08-03,2023-08-07,Buy,IWY,467.0,159.38,-74440.41,359,dc08804b30a60abf,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-08-03,2023-08-07,Buy,MOAT,916.0,81.25,-74434.95,360,dcdcdd0a624d0bf3,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-08-03,2023-08-07,Buy,PFF,2438.0,30.58,-74563.99,361,7bd3d0ed844ffadf,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-08,2023-09-08,Dividend,PFF,2438.0,0.0,375.52,355,465753d3984c3365,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-08,2023-09-08,Non resident tax,PFF,2438.0,0.0,-56.32,356,eb01237119732a8f,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-22,2023-09-22,Dividend,RSP,490.0,0.0,312.43,353,68c87f5f44686ad2,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-22,2023-09-22,Non resident tax,RSP,490.0,0.0,-46.86,354,bf9ae7f3c3a865d6,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-25,2023-09-27,Buy,PFF,40.0,30.26,-1220.35,348,7a2ae55da694e785,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-25,2023-09-27,Buy,MOAT,16.0,76.04,-1226.59,349,5a94bd06ab64badd,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-25,2023-09-27,Buy,IWY,8.0,155.33,-1252.59,350,00f2552bd0fb9b69,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-25,2023-09-27,Buy,VNQ,16.0,77.32,-1247.06,351,33fba41df3fdcaf9,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-09-25,2023-09-27,Buy,RSP,8.0,143.01,-1154.03,352,3f67b072e24bc594,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-02,2023-10-02,Non resident tax,IWY,475.0,0.0,-21.18,346,986afc55ba2ab84a,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-02,2023-10-02,Dividend,IWY,475.0,0.0,141.23,347,d4d36baba90d614b,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-03,2023-10-03,Non resident tax,VNQ,902.0,0.0,-98.33,344,f6855fc7daf07eb0,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-03,2023-10-03,Dividend,VNQ,902.0,0.0,655.57,345,9da3c765c72a5ea8,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-06,2023-10-06,Non resident tax,PFF,2478.0,0.0,-59.76,342,a8d6aca026a7e04f,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-06,2023-10-06,Dividend,PFF,2478.0,0.0,398.43,343,175aba13ca148ce1,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-27,2023-10-31,Buy,RSP,15.0,133.99,-2019.79,337,dc2e1eb0e3cc463a,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-27,2023-10-31,Buy,IWY,13.0,149.65,-1955.39,338,9785e50751a6975f,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-27,2023-10-31,Buy,PFF,70.0,28.42,-1999.2,339,b16eef12e92f1e57,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-27,2023-10-31,Buy,VNQ,28.0,71.1,-2000.63,340,a93ce737bbb84bb4,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-10-27,2023-10-31,Buy,MOAT,28.0,70.93,-1995.97,341,cb4f85b5ac2068a9,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-11-07,2023-11-07,Dividend,PFF,2548.0,0.0,440.87,335,536722de4eb6f581,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-11-07,2023-11-07,Non resident tax,PFF,2548.0,0.0,-66.13,336,cc68df162161b87a,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
2023-12-07,2023-12-07,Non resident tax,PFF,2548.0,0.0,-66.96,333,42229d114859458f,37b647d13b92c0c056b10f28de8d960194e9976c31302d45e787470ecce5cd12
