strategy,date,total_value,cash,dividend_cash,market_value,hedge_notional,hedge_unrealized,qqq_drawdown_from_high,qqq_close,qqq_ma200,shares_tqqq,value_tqqq,weight_tqqq,shares_jepq,value_jepq,weight_jepq,shares_jaaa,value_jaaa,weight_jaaa
tqqq_barbell_strategy,2026-01-02,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,613.12,558.4907,955.109838,50000.0,0.5,430.366672,25000.0,0.25,493.973523,25000.0,0.25
tqqq_barbell_strategy,2026-01-05,101334.64,0.0,0.0,101334.64,0.0,0.0,0.0,617.99,559.1762,955.109838,51193.89,0.505196,430.366672,25150.63,0.248194,493.973523,24990.12,0.24661
tqqq_barbell_strategy,2026-01-06,102871.34,0.0,0.0,102871.34,0.0,0.0,0.0,623.42,559.8969,955.109838,52540.59,0.510741,430.366672,25335.69,0.246285,493.973523,24995.06,0.242974
tqqq_barbell_strategy,2026-01-07,103064.8,0.0,0.0,103064.8,0.0,0.0,0.0,624.02,560.6128,955.109838,52693.41,0.511265,430.366672,25361.51,0.246073,493.973523,25009.88,0.242662
tqqq_barbell_strategy,2026-01-08,102033.47,0.0,0.0,102033.47,0.0,0.0,-0.005689,620.47,561.2619,955.109838,51757.4,0.507259,430.366672,25271.13,0.247675,493.973523,25004.94,0.245066
tqqq_barbell_strategy,2026-01-09,103732.24,0.0,0.0,103732.24,0.0,0.0,0.0,626.65,561.9279,955.109838,53256.92,0.513408,430.366672,25460.49,0.245444,493.973523,25014.82,0.241148
tqqq_barbell_strategy,2026-01-12,103895.13,0.0,0.0,103895.13,0.0,0.0,0.0,627.17,562.6418,955.109838,53381.09,0.513798,430.366672,25499.23,0.245432,493.973523,25014.82,0.24077
tqqq_barbell_strategy,2026-01-13,103593.6,0.0,0.0,103593.6,0.0,0.0,-0.001483,626.24,563.3649,955.109838,53104.11,0.51262,430.366672,25464.8,0.245814,493.973523,25024.7,0.241566
tqqq_barbell_strategy,2026-01-14,101727.24,0.0,0.0,101727.24,0.0,0.0,-0.01215,619.55,564.1179,955.109838,51413.56,0.505406,430.366672,25284.04,0.248547,493.973523,25029.64,0.246047
tqqq_barbell_strategy,2026-01-15,102317.74,0.0,0.0,102317.74,0.0,0.0,-0.008594,621.78,564.8822,955.109838,51938.87,0.507623,430.366672,25344.29,0.247702,493.973523,25034.58,0.244675
tqqq_barbell_strategy,2026-01-16,102136.01,0.0,0.0,102136.01,0.0,0.0,-0.009423,621.26,565.625,955.109838,51709.65,0.506282,430.366672,25357.2,0.248269,493.973523,25069.16,0.245449
tqqq_barbell_strategy,2026-01-20,98448.72,0.0,0.0,98448.72,0.0,0.0,-0.03047,608.06,566.2846,955.109838,48452.72,0.492162,430.366672,24926.84,0.253196,493.973523,25069.16,0.254642
tqqq_barbell_strategy,2026-01-21,100674.38,0.0,0.0,100674.38,0.0,0.0,-0.017364,616.28,567.1127,955.109838,50362.94,0.500256,430.366672,25232.4,0.250634,493.973523,25079.04,0.24911
tqqq_barbell_strategy,2026-01-22,101954.76,0.0,0.0,101954.76,0.0,0.0,-0.010221,620.76,568.1031,955.109838,51480.42,0.504934,430.366672,25400.24,0.249132,493.973523,25074.1,0.245934
tqqq_barbell_strategy,2026-01-23,102519.04,0.0,0.0,102519.04,0.0,0.0,-0.007095,622.72,569.0983,955.109838,51938.87,0.506627,430.366672,25486.31,0.248601,493.973523,25093.85,0.244773
